nom,prenom,email,matricule,telephone,moyenne
Dupont,Jean,jean.dupont@example.com,ET20230001,0612345678,15.5
Martin,Sophie,sophie.martin@example.com,ET20230002,0623456789,16.2
Bernard,Pierre,pierre.bernard@example.com,ET20230003,0634567890,14.8
Petit,Marie,marie.petit@example.com,ET20230004,0645678901,17.3
Durand,Thomas,thomas.durand@example.com,ET20230005,0656789012,13.7
Leroy,Julie,julie.leroy@example.com,ET20230006,0667890123,12.9
Moreau,David,david.moreau@example.com,ET20230007,0678901234,11.5
Laurent,Claire,claire.laurent@example.com,ET20230008,0689012345,18.0
Simon,Nicolas,nicolas.simon@example.com,ET20230009,0690123456,14.2
Michel,Emilie,emilie.michel@example.com,ET20230010,0601234567,16.8
