nom,prenom,email,matricule
Boukhelifa,Amine,amine.boukhelifa@example.com,DZ001
Ait Ahmed,Khadidja,khadidja.aitahmed@example.com,DZ002
Bensaid,Farid,farid.bensaid@example.com,DZ003
Mokhtari,Nour,nour.mokhtari@example.com,DZ004
Zerrouki,Yacine,yacine.zerrouki@example.com,DZ005
Haddad,Lamia,lamia.haddad@example.com,DZ006
Tebbal,Ryad,ryad.tebbal@example.com,DZ007
Guemache,Samia,samia.guemache@example.com,DZ008
Benali,Kamel,kamel.benali@example.com,DZ009
Cherif,Nesrine,nesrine.cherif@example.com,DZ010
Cherifi,Nesrin,nes.cherif@example.com,DZ011
